ID,Area,Sub Area,lat,long,Type
"
NW-88006072
","
Cumbria And Lancashire
","
North Cumbria
",54.892373," -2.831086
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006070
","
Cumbria And Lancashire
","
North Cumbria
",54.910585," -2.825004
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006065
","
Cumbria And Lancashire
","
North Cumbria
",54.911795," -2.707182
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006060
","
Cumbria And Lancashire
","
North Cumbria
",54.808952," -2.857892
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006052
","
Cumbria And Lancashire
","
North Cumbria
",54.779569," -2.631893
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006056
","
Cumbria And Lancashire
","
North Cumbria
",54.719263," -2.879268
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006187
","
Cumbria And Lancashire
","
North Cumbria
",54.524813," -2.50733
","
Freshwater – Rivers
"
"
NW-88006047
","
Cumbria And Lancashire
","
North Cumbria
",54.730083," -2.791936
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006053
","
Cumbria And Lancashire
","
North Cumbria
",54.939646," -3.003188
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006054
","
Cumbria And Lancashire
","
North Cumbria
",54.535895," -2.685659
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006035
","
Cumbria And Lancashire
","
North Cumbria
",54.650154," -2.880348
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006051
","
Cumbria And Lancashire
","
North Cumbria
",54.436476," -2.432127
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006049
","
Cumbria And Lancashire
","
North Cumbria
",54.61533," -2.820087
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006033
","
Cumbria And Lancashire
","
North Cumbria
",54.598696," -2.624135
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006029
","
Cumbria And Lancashire
","
North Cumbria
",54.963061," -2.654637
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006026
","
Cumbria And Lancashire
","
North Cumbria
",54.61311," -2.515581
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006031
","
Cumbria And Lancashire
","
North Cumbria
",54.732417," -2.619527
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006028
","
Cumbria And Lancashire
","
North Cumbria
",54.802056," -2.841567
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006022
","
Cumbria And Lancashire
","
North Cumbria
",54.700747," -2.686389
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006020
","
Cumbria And Lancashire
","
North Cumbria
",54.763574," -2.704967
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006043
","
Cumbria And Lancashire
","
North Cumbria
",54.659387," -2.69462
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88006019
","
Cumbria And Lancashire
","
North Cumbria
",54.619877," -2.571619
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
